Sample#,Planet_Mass,Epsilon,Alpha,Stokes,Aspect_Ratio,SigmaSlope,Dust_gap_1,Gas_gap_1,Dust_depth_1,Gas_depth_1,Dust_gap_2,Dust_depth_2,#_DG,#_GG,
53,1034,0.00026,0.0691,0.00579,0.046,0.0411,0.725,0.783,0.267,7.61E-18,2.64E-05,0,0,1,1
54,1035,2.86E-05,0.1,0.000822,0.0748,0.0438,1.07,0.673,0,1.44E-06,0,0,0,1,0
55,1036,7.15E-05,0.0851,0.0075,0.0585,0.0358,0.543,0.689,0,7.64E-12,0,0,0,1,0
56,1037,0.0002,0.0275,0.00402,0.0346,0.0285,1.04,0.767,0.271,3.48E-17,6.41E-06,0,0,1,1
57,1038,0.000168,0.0943,0.00109,0.0689,0.046,0.95,0.841,0.332,3.30E-41,1.64E-05,0,0,1,1
58,1039,0.000175,0.0862,0.00749,0.0489,0.0735,0.937,0.062,0,1.70E-06,0,0,0,1,0
59,1040,4.15E-05,0.05,0.00732,0.029,0.0308,1.15,0.648,0,1.95E-09,0,0,0,1,0
60,1041,6.64E-05,0.0638,0.00175,0.086,0.0772,0.867,0,0,0,0,0,0,0,0
61,1042,0.000165,0.0383,0.00764,0.0606,0.0308,1.33,0.734,0.209,3.40E-16,2.70E-05,0,0,1,1
62,1043,0.000145,0.0856,0.00986,0.0779,0.096,1.27,0,0,0,0,0,0,0,0
63,1044,0.000327,0.0424,0.00217,0.0262,0.0458,1.48,0.853,0.353,3.24E-19,1.16E-05,0,0,1,1
64,1045,0.00026,0.027,0.00269,0.0272,0.065,1.06,0.742,0,5.99E-14,0,0,0,1,0
65,850,3.00E-05,0.0588,0.00774,0.0565,0.0907,1.23,0,0,0,0,0,0,0,0
66,851,4.77E-05,0.0237,0.00134,0.0213,0.0281,1.04,0.611,0.144,5.27E-16,2.85E-05,0,0,1,1
67,852,0.000268,0.0612,0.000781,0.0352,0.0677,0.558,0.939,0.369,6.38E-19,2.88E-05,0,0,1,1
68,853,8.35E-05,0.0903,0.00278,0.00451,0.0485,1.37,0.492,0,1.23E-06,0,0,0,1,0
69,854,3.67E-05,0.0946,0.007,0.0134,0.0453,1.16,0,0,0,0,0,0,0,0
70,855,0.000181,0.0736,0.00453,0.0794,0.0318,0.529,0.788,0.262,1.65E-25,1.50E-05,0,0,1,1
71,856,0.000242,0.0826,0.00083,0.0357,0.0973,1.09,0.037,0,4.01E-06,0,0,0,1,0
72,857,0.00016,0.094,0.000187,0.0577,0.0467,0.506,0.57,0.336,1.19E-08,6.60E-06,0.283,8.62E-09,2,1
73,858,0.000133,0.0601,0.00574,0.0551,0.0909,0.725,0,0,0,0,0,0,0,0
74,859,0.000256,0.0779,0.00427,0.0197,0.0945,1.04,0.053,0,1.91E-06,0,0,0,1,0
75,860,0.000358,0.028,0.00316,0.0704,0.0984,0.58,0,0,0,0,0,0,0,0
76,861,0.00016,0.082,0.0077,0.0562,0.0515,0.962,0.705,0,1.43E-08,0,0,0,1,0
77,862,0.000287,0.019,0.00965,0.0534,0.0363,0.986,0.755,0.254,1.17E-15,2.64E-05,0,0,1,1
78,863,2.89E-05,0.0516,0.00704,0.0707,0.0309,1.02,0.636,0,4.66E-09,0,0,0,1,0
79,864,0.000107,0.0729,0.00939,0.0408,0.0647,1,0.037,0,2.48E-06,0,0,0,1,0
