,Planet_Mass,Epsilon,Alpha,Stokes,Aspect_Ratio,SigmaSlope,Dust_gap_1,Gas_gap_1,Dust_depth_1,Gas_depth_1,Dust_gap_2,Dust_depth_2,#_DG,#_GG
53,87.66666667,0.0278,0.00519,0.0644,0.0512,1.04,0.8,0.213,3.38E-23,4.05E-05,0,0,1,1
54,118,0.0908,0.00153,0.0114,0.0658,0.695,0.886,0.349,1.24E-11,2.86E-05,0,0,1,1
55,12.7,0.0306,0.00493,0.041,0.036,0.878,0.632,0,1.13E-08,0,0,0,1,0
56,117.3333333,0.0708,0.000632,0.059,0.0892,0.815,0.861,0.525,1.58E-26,3.20E-05,0.07,1.43E-06,2,1
57,76.66666667,0.0307,0.00173,0.00409,0.0742,1.21,0.669,0,5.21E-07,0,0,0,1,0
58,92,0.0834,0.00585,0.0464,0.0397,1.02,0.792,0.287,7.39E-18,2.17E-05,0,0,1,1
59,85,0.0495,0.00528,0.00261,0.0284,0.57,0.496,0.295,5.61E-09,4.84E-06,0,0,1,1
60,39.66666667,0.0627,0.00334,0.0336,0.0398,1.4,0.751,0.172,1.06E-15,3.97E-05,0,0,1,1
61,107.6666667,0.0727,0.00913,0.0962,0.0639,1.47,0.751,0,2.84E-08,0,0,0,1,0
62,57.66666667,0.016,0.00928,0.0634,0.0278,0.515,0.73,0.217,9.16E-17,2.23E-05,0,0,1,1
63,52,0.0514,0.00802,0.0373,0.0278,1.5,0.718,0.209,7.04E-13,2.22E-05,0,0,1,1
64,78.33333333,0.0318,0.0015,0.0306,0.0745,1.27,0.734,0,1.84E-09,0,0,0,1,0
65,47.33333333,0.0574,0.00809,0.0877,0.0539,0.858,0.677,0,3.49E-08,0,0,0,1,0
66,63.33333333,0.0964,0.000294,0.0508,0.0477,0.534,0.874,0.349,7.59E-09,6.95E-06,0,0,1,1
67,88,0.0437,0.00679,0.0519,0.0306,1.24,0.775,0.287,5.39E-18,1.01E-05,0,0,1,1
68,54.33333333,0.093,0.00501,0.0413,0.0253,1.43,0.742,0.246,4.09E-15,7.16E-06,0,0,1,1
69,92.66666667,0.0561,0.00193,0.0517,0.0803,0.915,0.874,0,9.08E-08,0,0,0,1,0
70,90.66666667,0.0241,0.0099,0.00929,0.065,1.09,0.131,0,2.77E-07,0,0,0,1,0
71,64.33333333,0.0268,0.00307,0.0374,0.0305,1.37,0.783,0.271,1.71E-18,7.32E-06,0,0,1,1
72,114,0.0663,0.00178,0.0718,0.0958,1.03,0.775,0,9.38E-07,0,0,0,1,0
73,109.3333333,0.0225,0.00778,0.0397,0.0258,1.34,0.775,0.328,4.79E-15,2.39E-06,0,0,1,1
74,14.2,0.0776,0.00382,0.0963,0.0315,1.38,0.705,0,8.20E-20,0,0,0,1,0
75,82,0.0272,0.00999,0.0392,0.042,0.586,0.734,0.164,2.06E-12,4.44E-05,0,0,1,1
76,68.33333333,0.0573,0.00533,0.0785,0.0693,1.36,0.082,0,1.01E-06,0,0,0,1,0
77,63,0.037,0.00923,0.0108,0.0715,1.22,0.057,0,1.27E-06,0,0,0,1,0
78,71,0.0405,0.00289,0.0956,0.0351,1.05,0.824,0.299,2.86E-37,1.02E-05,0,0,1,1
79,52.33333333,0.0328,0.00121,0.0793,0.0504,0.602,0.853,0.275,4.82E-38,2.91E-05,0,0,1,1
80,114.6666667,0.0828,0.00769,0.0632,0.089,0.802,0.074,0,1.92E-06,0,0,0,1,0
81,110.6666667,0.0603,0.0034,0.0223,0.0455,0.659,0.82,0.328,1.20E-15,1.70E-05,0,0,1,1
82,16.43333333,0.0517,0.00431,0.0822,0.0289,0.678,0.705,0,1.38E-19,0,0,0,1,0
83,64.33333333,0.0247,0.00773,0.0211,0.0553,1.3,0.652,0,2.06E-08,0,0,0,1,0
84,92.66666667,0.0394,0.00436,0.0566,0.0657,1.37,0.656,0,5.86E-08,0,0,0,1,0
85,75.66666667,0.0958,0.00229,0.00599,0.0713,0.682,0.714,0,3.58E-07,0,0,0,1,0
86,105.6666667,0.0677,0.0051,0.0372,0.0318,0.786,0.808,0.332,3.81E-17,5.10E-06,0,0,1,1
87,56.66666667,0.0934,0.00448,0.038,0.0372,0.72,0.767,0.234,1.71E-16,2.75E-05,0,0,1,1
88,24.83333333,0.0174,0.00399,0.0114,0.0262,0.747,0.525,0.152,1.58E-10,2.97E-05,0,0,1,1
89,98.33333333,0.0446,0.00429,0.0498,0.0783,0.915,0.656,0,1.73E-07,0,0,0,1,0
90,105,0.0553,0.00475,0.0768,0.0401,1.36,0.833,0.353,7.97E-27,1.38E-05,0,0,1,1
91,35,0.0613,0.0058,0.0814,0.0562,0.525,0.07,0,1.07E-06,0,0,0,1,0
92,70.66666667,0.0615,0.00947,0.065,0.0286,1.49,0.751,0.25,2.84E-16,1.68E-05,0,0,1,1
93,102.3333333,0.0458,0.00208,0.0124,0.0601,0.679,0.837,0.299,6.26E-12,3.23E-05,0,0,1,1
94,111.3333333,0.087,0.000368,0.077,0.0737,0.547,0.894,0.669,6.40E-45,1.30E-05,0.016,3.29E-06,2,1
95,81.33333333,0.0858,0.0024,0.0284,0.0436,0.836,0.824,0.308,1.78E-18,1.68E-05,0,0,1,1
96,32.03333333,0.0262,0.00358,0.0111,0.0536,0.686,0.074,0,3.07E-07,0,0,0,1,0
97,107,0.0337,0.00373,0.0889,0.0748,0.53,0.763,0,1.15E-08,0,0,0,1,0
98,101.3333333,0.0932,0.00352,0.00434,0.0568,0.905,0.738,0.258,1.62E-08,3.69E-05,0,0,1,1
99,74.66666667,0.0673,0.00247,0.0178,0.0468,1.2,0.8,0.271,4.30E-14,2.53E-05,0,0,1,1
100,62.66666667,0.0895,0.00625,0.0936,0.0533,1.46,0.701,0,1.88E-10,0,0,0,1,0
101,99.66666667,0.0395,0.00365,0.0156,0.0533,0.514,0.796,0.267,3.29E-12,3.36E-05,0,0,1,1
102,15.6,0.0988,0.00311,0.0902,0.0422,0.898,0.685,0,1.10E-07,0,0,0,1,0
