,Planet_Mass,Epsilon,Alpha,Stokes,Aspect_Ratio,SigmaSlope,Dust_gap_1,Gas_gap_1,Dust_depth_1,Gas_depth_1,Dust_gap_2,Dust_depth_2,#_DG,#_GG
232,51.33333333,0.0112,0.00736,0.00517,0.0509,1.4,0.115,0,1.89E-07,0,0,0,1,0
233,65,0.0543,0.00186,0.0154,0.0808,0.783,0.078,0,8.15E-07,0,0,0,1,0
234,107,0.0472,0.00376,0.0782,0.04,0.689,0.861,0.353,1.78E-32,1.08E-05,0,0,1,1
235,59,0.0371,0.00992,0.0122,0.0643,0.649,0.09,0,7.04E-07,0,0,0,1,0
236,110.6666667,0.0297,0.00982,0.0899,0.0549,1.45,0.722,0,3.97E-14,0,0,0,1,0
237,51.66666667,0.0931,0.00647,0.0781,0.026,0.5,0.755,0.238,3.03E-20,1.25E-05,0,0,1,1
238,55.33333333,0.0894,0.00627,0.0873,0.0472,0.912,0.763,0.127,1.01E-17,4.65E-05,0,0,1,1
239,53,0.022,0.00649,0.027,0.0725,0.565,0.062,0,3.22E-07,0,0,0,1,0
240,100.3333333,0.0375,0.0089,0.0097,0.083,1.3,0.07,0,1.22E-06,0,0,0,1,0
241,110.6666667,0.0707,0.00925,0.0628,0.0787,1.24,0.107,0,6.97E-07,0,0,0,1,0
242,99.66666667,0.0716,0.00821,0.035,0.0862,1.4,0.07,0,1.22E-06,0,0,0,1,0
243,81,0.061,0.00273,0.0391,0.0648,1.04,0.804,0,1.57E-13,0,0,0,1,0
244,33.66666667,0.0619,0.000335,0.0278,0.0737,0.965,0.804,0,4.38E-07,0,0,0,1,0
245,83.66666667,0.0206,0.00128,0.0378,0.0708,1.03,0.771,0.185,1.98E-17,4.61E-05,0,0,1,1
246,111.3333333,0.0357,0.00717,0.0247,0.055,0.607,0.755,0.156,7.19E-12,4.63E-05,0,0,1,1
247,110,0.0292,0.00198,0.0976,0.0374,1.47,0.915,0.39,2.78E-30,3.08E-06,0,0,1,1
248,65,0.0844,0.00943,0.051,0.0681,0.634,0.094,0,6.10E-07,0,0,0,1,0
249,89.33333333,0.0182,0.00192,0.091,0.0679,1.06,0.796,0.213,5.65E-25,4.46E-05,0,0,1,1
250,56,0.0398,0.000599,0.0531,0.0382,0.872,0.849,0.299,5.48E-22,4.99E-06,0,0,1,1
251,75,0.0119,0.00349,0.0789,0.0642,1.36,0.726,0,3.22E-10,0,0,0,1,0
252,80,0.0916,0.00673,0.0892,0.0353,0.549,0.792,0.283,4.00E-24,1.96E-05,0,0,1,1
253,107,0.0214,0.00807,0.069,0.0572,1.02,0.767,0,5.10E-20,0,0,0,1,0
254,111.6666667,0.0228,0.00167,0.00657,0.0829,1.09,0.771,0,7.70E-09,0,0,0,1,0
255,68.33333333,0.057,0.00578,0.0521,0.0638,0.544,0.71,0,5.77E-09,0,0,0,1,0
256,82,0.0802,0.00022,0.0522,0.0876,1.44,0.857,0.574,3.10E-16,2.72E-05,0,0,1,1
257,111,0.0889,0.00328,0.0819,0.0836,1.3,0.841,0,2.20E-07,0,0,0,1,0
258,57.33333333,0.0605,0.00617,0.0837,0.0311,1.28,0.767,0.238,7.96E-22,2.07E-05,0,0,1,1
259,57,0.0331,0.00359,0.0612,0.0442,0.561,0.792,0.209,4.75E-23,3.64E-05,0,0,1,1
260,53,0.0445,0.00765,0.0712,0.0522,0.781,0.714,0,4.04E-13,0,0,0,1,0
261,65.33333333,0.0129,0.000178,0.09,0.074,0.508,0.984,0.357,1.41E-48,3.23E-05,0,0,1,1
262,72,0.0832,0.00244,0.0139,0.049,1.31,0.796,0.263,2.71E-12,2.97E-05,0,0,1,1
263,92.33333333,0.0381,0.0057,0.0866,0.0376,1.16,0.804,0.295,1.66E-26,1.78E-05,0,0,1,1
264,22.03333333,0.0913,0.00581,0.0716,0.0268,0.943,0.705,0.127,1.13E-16,4.07E-05,0,0,1,1
265,67.33333333,0.0284,0.000946,0.0679,0.0775,0.621,0.816,0,2.32E-09,0,0,0,1,0
266,67.66666667,0.0171,0.0098,0.0689,0.0357,1.23,0.734,0.189,1.79E-15,3.79E-05,0,0,1,1
267,114.3333333,0.0175,0.00826,0.00236,0.051,0.742,0.258,0.189,1.15E-07,4.37E-05,0,0,1,1
268,88.66666667,0.0919,0.00544,0.0156,0.0893,0.776,0.078,0,1.74E-06,0,0,0,1,0
269,41.66666667,0.0575,0.000517,0.0437,0.0378,0.895,0.82,0.262,3.39E-23,8.20E-06,0,0,1,1
270,52.66666667,0.0592,0.00835,0.0107,0.055,0.792,0.115,0,5.02E-07,0,0,0,1,0
271,88.33333333,0.0194,0.00406,0.0399,0.0627,1.33,0.705,0,4.87E-13,0,0,0,1,0
272,83.33333333,0.0907,0.00742,0.0319,0.0707,0.745,0.119,0,3.84E-07,0,0,0,1,0
273,74,0.0391,0.000236,0.0333,0.0686,0.994,0.968,0.373,4.81E-20,2.33E-05,0,0,1,1
274,100.6666667,0.075,0.00696,0.0942,0.0621,1.16,0.779,0,3.27E-08,0,0,0,1,0
275,27.36666667,0.0253,0.00351,0.0326,0.0495,0.859,0.656,0,1.56E-08,0,0,0,1,0
276,29.43333333,0.0139,0.00131,0.00475,0.0543,0.7,0.705,0,4.16E-09,0,0,0,1,0
277,118.3333333,0.0496,0.0092,0.068,0.0272,0.59,0.8,0.336,4.53E-18,3.74E-06,0,0,1,1
278,63.33333333,0.0574,0.00883,0.00335,0.0563,0.575,0.115,0,1.66E-06,0,0,0,1,0
279,85.33333333,0.0821,0.0047,0.0914,0.0425,0.57,0.824,0.324,3.45E-31,2.12E-05,0,0,1,1
280,67,0.04,0.000896,0.0863,0.0667,1,0.911,0.353,1.64E-37,3.47E-05,0,0,1,1
281,35,0.0127,0.00684,0.0276,0.0535,1.04,0.078,0,8.20E-08,0,0,0,1,0
282,58.33333333,0.0649,0.00901,0.026,0.0594,0.949,0.115,0,2.92E-07,0,0,0,1,0
283,36,0.0816,0.000566,0.0816,0.0505,0.95,0.841,0.316,1.29E-38,2.61E-05,0,0,1,1
284,50.66666667,0.0477,0.00428,0.0495,0.0312,1.29,0.759,0.226,6.99E-19,1.89E-05,0,0,1,1
285,71,0.0595,0.00728,0.0906,0.0491,1.37,0.714,0.107,4.70E-13,4.75E-05,0,0,1,1
286,25.96666667,0.0704,0.00486,0.039,0.0454,1.21,0.669,0,3.70E-09,0,0,0,1,0
287,60,0.074,0.00803,0.0208,0.067,1.32,0.09,0,6.57E-07,0,0,0,1,0
288,54,0.0751,0.00587,0.0204,0.076,0.886,0.062,0,1.31E-06,0,0,0,1,0
289,37.33333333,0.0406,0.00943,0.00178,0.0323,1.03,0.172,0,5.14E-07,0,0,0,1,0
290,119.3333333,0.0397,0.00458,0.0507,0.0355,0.995,0.833,0.361,2.55E-21,6.20E-06,0,0,1,1
291,103,0.0105,0.00939,0.0861,0.0495,1.28,0.767,0.119,4.21E-19,4.71E-05,0,0,1,1
292,40.33333333,0.0895,0.0071,0.0241,0.0502,1.12,0.652,0,5.71E-08,0,0,0,1,0
293,98,0.0436,0.00265,0.0337,0.0458,1.29,0.837,0.328,1.36E-20,1.65E-05,0,0,1,1
294,66.33333333,0.0358,0.00283,0.0288,0.07,1.44,0.656,0,9.24E-08,0,0,0,1,0
295,53.33333333,0.082,0.0077,0.0562,0.0515,0.962,0.705,0,1.43E-08,0,0,0,1,0
296,58,0.0819,0.0084,0.0497,0.0647,1.37,0.09,0,6.11E-07,0,0,0,1,0
297,12.16666667,0.029,0.00199,0.0476,0.0252,1.05,0.701,0.115,2.42E-21,3.66E-05,0,0,1,1
298,31.76666667,0.0793,0.00017,0.0203,0.0649,1.01,0.878,0,5.87E-13,0,0,0,1,0
299,71.33333333,0.0554,0.00794,0.0397,0.0498,0.625,0.73,0,3.01E-12,0,0,0,1,0
300,108.6666667,0.0481,0.00321,0.0753,0.0381,1.45,0.878,0.373,2.68E-28,6.69E-06,0,0,1,1
301,94.33333333,0.0661,0.0073,0.0957,0.0765,0.635,0.09,0,1.46E-06,0,0,0,1,0
302,48.66666667,0.0203,0.00819,0.0283,0.0257,1.45,0.705,0.209,2.42E-12,1.95E-05,0,0,1,1
303,107.3333333,0.0617,0.0078,0.0599,0.0638,1.11,0.746,0,3.28E-08,0,0,0,1,0
304,38.33333333,0.0731,0.00575,0.073,0.0547,1.39,0.664,0,1.99E-07,0,0,0,1,0
305,74.66666667,0.0864,0.0005,0.0474,0.0844,1.45,0.988,0.398,1.61E-07,3.42E-05,0,0,1,1
306,13,0.0606,0.00146,0.081,0.0442,0.924,0.697,0,1.57E-07,0,0,0,1,0
307,114.3333333,0.041,0.00368,0.00698,0.0674,0.972,0.742,0,6.74E-10,0,0,0,1,0
308,86.33333333,0.0563,0.00956,0.055,0.0416,1.45,0.751,0.217,5.11E-14,3.77E-05,0,0,1,1
309,96.33333333,0.0582,0.00277,0.0997,0.0817,0.6,0.837,0,2.55E-07,0,0,0,1,0
310,48.33333333,0.0388,0.000888,0.00987,0.028,1.05,0.558,0.271,1.10E-08,1.34E-06,0,0,1,1
311,67.33333333,0.037,0.0088,0.0968,0.0517,0.56,0.722,0,1.55E-10,0,0,0,1,0
312,112.3333333,0.0235,0.00639,0.0583,0.084,1.35,0.062,0,5.98E-07,0,0,0,1,0
313,30.53333333,0.0442,0.00236,0.0632,0.0349,1.01,0.759,0.185,3.02E-27,3.14E-05,0,0,1,1
314,99.66666667,0.0966,0.00101,0.00789,0.0317,1.49,0.66,0.386,8.69E-09,3.49E-07,0,0,1,1
315,90.33333333,0.049,0.00526,0.0601,0.0445,0.554,0.804,0.271,1.01E-21,2.90E-05,0,0,1,1
316,62,0.0257,0.00708,0.059,0.0446,1.37,0.742,0,2.18E-16,0,0,0,1,0
317,97.66666667,0.0957,0.008,0.0142,0.0852,0.852,0.09,0,1.66E-06,0,0,0,1,0
318,41.66666667,0.0286,0.00219,0.0491,0.0378,1.32,0.779,0.213,6.90E-25,2.68E-05,0,0,1,1
319,112,0.0154,0.00114,0.0629,0.0756,0.84,0.952,0.336,1.33E-24,3.77E-05,0,0,1,1
320,104.3333333,0.088,0.00088,0.0625,0.0463,1.49,0.931,0.435,3.24E-09,4.67E-06,0,0,1,1
321,111.3333333,0.0742,0.00469,0.0592,0.0488,1.33,0.833,0.345,3.89E-23,2.31E-05,0,0,1,1
322,79.66666667,0.0676,0.00129,0.0538,0.0253,1.34,0.431,0.365,1.18E-09,1.30E-07,0.365,1.29E-09,2,1
323,59.33333333,0.0442,0.000211,0.0152,0.0724,0.735,0.931,0.295,6.81E-18,3.92E-05,0,0,1,1
324,116.3333333,0.0418,0.000657,0.0798,0.0415,0.553,0.562,0.447,2.57E-09,1.23E-06,0.365,1.68E-09,2,1
325,32.6,0.0963,0.00306,0.0672,0.0271,0.855,0.751,0.205,3.89E-23,1.57E-05,0,0,1,1
326,83.33333333,0.0372,0.00591,0.092,0.0587,0.777,0.742,0,1.37E-12,0,0,0,1,0
327,108.6666667,0.0871,0.00609,0.0348,0.039,1.23,0.787,0.312,2.44E-15,1.68E-05,0,0,1,1
328,39.33333333,0.0247,0.000459,0.00954,0.0738,0.896,0.755,0,2.09E-07,0,0,0,1,0
329,102,0.0985,0.00466,0.0274,0.0395,1.27,0.792,0.32,7.14E-15,1.48E-05,0,0,1,1
330,43.33333333,0.0258,0.00236,0.076,0.0554,1.29,0.751,0,3.30E-14,0,0,0,1,0
331,77.33333333,0.0416,0.00211,0.0324,0.079,0.709,0.718,0,8.76E-08,0,0,0,1,0
332,72,0.0116,0.00745,0.00368,0.0254,1.25,0.439,0.262,2.44E-09,7.00E-06,0,0,1,1
333,100.6666667,0.0589,0.00675,0.0737,0.0583,0.928,0.697,0,4.67E-09,0,0,0,1,0
334,17,0.0928,0.00816,0.0296,0.0292,0.814,0.66,0,1.48E-09,0,0,0,1,0
335,26.7,0.016,0.00148,0.0771,0.0307,0.526,0.767,0.193,1.67E-42,1.92E-05,0,0,1,1
336,104.6666667,0.0256,0.00408,0.0738,0.0807,0.63,0.078,0,5.90E-07,0,0,0,1,0
337,106.6666667,0.0967,0.00766,0.0584,0.075,1.26,0.685,0,1.92E-07,0,0,0,1,0
338,74.33333333,0.053,0.00963,0.0873,0.032,1.19,0.759,0.246,2.41E-18,2.36E-05,0,0,1,1
339,27,0.0604,0.00375,0.0717,0.0545,1.05,0.053,0,1.53E-06,0,0,0,1,0
340,62.33333333,0.0126,0.00941,0.00583,0.0427,1.5,0.648,0,4.92E-08,0,0,0,1,0
341,76,0.0308,0.00868,0.0131,0.0523,1.18,0.677,0,1.07E-08,0,0,0,1,0
342,104.6666667,0.0783,0.00116,0.0387,0.0915,0.744,0.939,0,3.90E-08,0,0,0,1,0
343,110.6666667,0.0757,0.00909,0.0928,0.0777,0.51,0.644,0,5.80E-07,0,0,0,1,0
344,112.6666667,0.0583,0.00876,0.0764,0.0312,0.771,0.796,0.324,4.36E-21,8.66E-06,0,0,1,1
345,91,0.0259,0.00424,0.0898,0.0337,1.07,0.82,0.312,1.45E-30,8.17E-06,0,0,1,1
346,69.33333333,0.0785,0.00829,0.07,0.0742,1.3,0.057,0,2.38E-06,0,0,0,1,0
347,56.33333333,0.0882,0.0072,0.014,0.0747,0.81,0.062,0,2.26E-06,0,0,0,1,0
348,18.5,0.019,0.00419,0.024,0.0368,1.03,0.677,0,5.54E-11,0,0,0,1,0
349,25.4,0.0652,0.00783,0.0953,0.0303,0.764,0.705,0,8.52E-16,0,0,0,1,0
350,56.33333333,0.0143,0.00342,0.0477,0.0612,1.07,0.738,0,2.86E-12,0,0,0,1,0
351,60,0.0283,0.00463,0.0958,0.0664,0.833,0.066,0,8.94E-07,0,0,0,1,0
352,114.6666667,0.0316,0.00522,0.021,0.0743,0.803,0.689,0,2.48E-08,0,0,0,1,0
353,77.66666667,0.0309,0.00297,0.0624,0.0494,1.48,0.829,0.271,1.57E-27,3.00E-05,0,0,1,1
354,70.33333333,0.0584,0.00689,0.0459,0.0358,0.8,0.759,0.238,7.93E-16,2.72E-05,0,0,1,1
355,46.66666667,0.0298,0.00332,0.0576,0.0387,0.85,0.771,0.209,1.29E-23,3.20E-05,0,0,1,1
356,37,0.0567,0.0019,0.0851,0.0423,1.2,0.804,0.221,7.87E-35,3.26E-05,0,0,1,1
357,111.6666667,0.0692,0.00169,0.0406,0.0757,1.39,0.771,0.316,7.01E-11,3.95E-05,0,0,1,1
358,44.66666667,0.0312,0.00163,0.0638,0.0449,0.89,0.82,0.23,6.41E-31,3.14E-05,0,0,1,1
359,109,0.0424,0.00217,0.0262,0.0458,1.48,0.853,0.353,3.24E-19,1.16E-05,0,0,1,1
360,61,0.028,0.0034,0.0256,0.0473,0.66,0.771,0.197,2.97E-14,4.00E-05,0,0,1,1
361,93.33333333,0.0343,0.00105,0.03,0.0885,0.687,0.722,0,2.36E-07,0,0.131,1.63E-07,2,0
362,47,0.0673,0.00133,0.0214,0.0754,0.713,0.066,0,1.38E-06,0,0,0,1,0
363,12.43333333,0.0328,0.00849,0.0926,0.0338,1.09,0.628,0,3.05E-08,0,0,0,1,0
364,115.3333333,0.073,0.00895,0.0901,0.0427,1.17,0.796,0.291,1.45E-21,2.74E-05,0,0,1,1
365,39.66666667,0.025,0.00251,0.0486,0.0466,0.59,0.775,0.029,9.96E-18,4.89E-05,0,0,1,1
366,105.3333333,0.0181,0.00733,0.0864,0.0535,1.38,0.792,0.168,1.48E-22,4.53E-05,0,0,1,1
367,18.76666667,0.0151,0.00832,0.0172,0.0327,0.56,0.644,0,7.80E-09,0,0,0,1,0
368,60.66666667,0.0583,0.00547,0.0401,0.0482,1.46,0.697,0.025,1.54E-13,5.18E-05,0,0,1,1
369,109.6666667,0.0976,0.00797,0.0491,0.0767,0.952,0.669,0,2.17E-07,0,0,0,1,0
370,87.66666667,0.0886,0.00585,0.0128,0.0377,1.19,0.742,0.275,1.93E-10,2.09E-05,0,0,1,1
371,66.66666667,0.0275,0.00402,0.0346,0.0285,1.04,0.767,0.271,3.48E-17,6.41E-06,0,0,1,1
372,115.6666667,0.0841,0.000682,0.0354,0.0793,1.18,1.017,0.48,1.16E-22,2.72E-05,0,0,1,1
373,83.66666667,0.097,0.00439,0.011,0.0326,1.13,0.726,0.291,6.52E-11,9.16E-06,0,0,1,1
374,68,0.033,0.000145,0.0354,0.0932,0.839,0.931,0,2.37E-10,0,0.053,9.63E-07,2,0
375,106.6666667,0.0722,0.00964,0.015,0.029,1.38,0.726,0.304,7.49E-11,8.15E-06,0,0,1,1
376,104.3333333,0.0396,0.00903,0.034,0.0435,0.738,0.755,0.238,5.14E-13,3.53E-05,0,0,1,1
377,90,0.014,0.00293,0.0916,0.0736,1.06,0.697,0,6.43E-08,0,0,0,1,0
378,49.33333333,0.0459,0.00451,0.0788,0.0426,0.976,0.775,0.18,1.44E-24,4.09E-05,0,0,1,1
379,55.33333333,0.0369,0.00841,0.083,0.0255,1.11,0.742,0.23,1.49E-19,1.46E-05,0,0,1,1
380,53.33333333,0.0868,0.00215,0.0964,0.0744,1.43,0.685,0,2.22E-06,0,0,0,1,0
381,101.3333333,0.0646,0.00491,0.0961,0.0698,1.17,0.792,0,1.34E-07,0,0,0,1,0
382,86.33333333,0.0552,0.00166,0.0327,0.0352,0.73,0.845,0.34,1.18E-13,3.23E-06,0,0,1,1
383,93.66666667,0.0149,0.00517,0.0254,0.0267,0.577,0.796,0.32,2.59E-15,2.18E-06,0,0,1,1
384,97,0.0797,0.00967,0.0145,0.0596,0.96,0.673,0,3.60E-08,0,0,0,1,0
385,91.66666667,0.0412,0.00141,0.00129,0.0739,0.567,0.669,0,1.26E-07,0,0,0,1,0
386,116.6666667,0.0387,0.00703,0.0757,0.0482,1.34,0.804,0.271,6.13E-23,3.23E-05,0,0,1,1
387,78,0.0334,0.00613,0.0118,0.074,1.09,0.09,0,5.44E-07,0,0,0,1,0
388,90.33333333,0.0106,0.00607,0.057,0.0475,0.885,0.783,0.217,7.47E-20,3.88E-05,0,0,1,1
389,42,0.0492,0.00776,0.0505,0.0387,0.996,0.714,0,5.74E-13,0,0,0,1,0
390,113.3333333,0.0134,0.00752,0.0662,0.0764,1.26,0.098,0,1.55E-07,0,0,0,1,0
391,50.33333333,0.0905,0.00445,0.0418,0.0608,1.12,0.693,0,5.45E-08,0,0,0,1,0
392,60.33333333,0.0736,0.00453,0.0794,0.0318,0.529,0.788,0.262,1.65E-25,1.50E-05,0,0,1,1
393,95.66666667,0.0457,0.00798,0.0905,0.0408,1.49,0.787,0.263,6.13E-22,2.89E-05,0,0,1,1
394,82,0.0191,0.00722,0.047,0.0657,1.17,0.119,0,1.09E-07,0,0,0,1,0
395,75.66666667,0.0752,0.00937,0.0869,0.033,1.14,0.763,0.25,2.14E-18,2.42E-05,0,0,1,1
396,17.83333333,0.0871,0.00604,0.0671,0.0424,0.535,0.636,0,1.61E-07,0,0,0,1,0
397,86,0.0333,0.00562,0.0849,0.0642,0.914,0.685,0,5.02E-08,0,0,0,1,0
398,69.33333333,0.066,0.00309,0.0712,0.0632,1.08,0.804,0,5.18E-14,0,0,0,1,0
399,40.33333333,0.0739,0.00651,0.0839,0.061,0.683,0.062,0,1.97E-06,0,0,0,1,0
400,48.66666667,0.0569,0.00364,0.0568,0.0437,1.3,0.779,0.197,9.76E-22,3.92E-05,0,0,1,1
401,22.96666667,0.0345,0.00755,0.0855,0.041,0.885,0.664,0,6.48E-10,0,0,0,1,0
402,83.33333333,0.0733,0.00694,0.0547,0.0433,0.633,0.779,0.238,1.03E-17,3.48E-05,0,0,1,1
403,102.6666667,0.0198,0.00852,0.0944,0.0709,0.623,0.115,0,1.97E-07,0,0,0,1,0
404,107.6666667,0.0487,0.00907,0.0593,0.0629,1.25,0.722,0,4.63E-09,0,0,0,1,0
405,94,0.0265,0.00168,0.0727,0.0287,1.02,0.554,0.377,1.21E-09,3.71E-07,0.377,1.07E-09,2,1
406,51.33333333,0.0109,0.00666,0.0304,0.0479,0.644,0.705,0,8.53E-12,0,0,0,1,0
407,84,0.0823,0.00653,0.0022,0.0405,0.546,0.619,0.242,2.05E-07,2.97E-05,0,0,1,1
408,71,0.0491,0.00097,0.037,0.0615,0.785,0.898,0.312,5.09E-19,3.21E-05,0,0,1,1
409,42.66666667,0.0313,0.00657,0.0828,0.0564,1.41,0.074,0,4.15E-07,0,0,0,1,0
410,22.5,0.0857,0.00108,0.0868,0.0499,0.505,0.751,0.098,2.27E-14,4.68E-05,0,0,1,1
411,93.33333333,0.0607,0.00454,0.0119,0.0675,0.692,0.705,0,3.42E-08,0,0,0,1,0
412,42.66666667,0.0346,0.00826,0.075,0.0413,0.524,0.718,0,5.30E-15,0,0,0,1,0
413,98.33333333,0.0547,0.00734,0.0307,0.0624,0.503,0.726,0,7.04E-11,0,0,0,1,0
414,73,0.0211,0.00884,0.0182,0.0613,0.884,0.123,0,1.11E-07,0,0,0,1,0
415,117.6666667,0.0454,0.0028,0.0618,0.0685,1.27,0.853,0.304,3.35E-21,3.81E-05,0,0,1,1
416,94.66666667,0.0855,0.00036,0.022,0.0703,1.01,0.972,0.406,2.37E-16,2.11E-05,0,0,1,1
417,53.33333333,0.0981,0.00953,0.0578,0.0437,0.755,0.714,0,1.77E-10,0,0,0,1,0
418,82.33333333,0.0772,0.00422,0.0699,0.0825,0.75,0.057,0,2.85E-06,0,0,0,1,0
419,43,0.0355,0.00435,0.0559,0.0578,0.736,0.673,0,4.49E-08,0,0,0,1,0
420,55.33333333,0.0422,0.00487,0.0268,0.038,1.13,0.746,0.205,1.78E-13,3.34E-05,0,0,1,1
421,24.66666667,0.0253,0.00699,0.0321,0.0487,0.903,0.066,0,1.59E-07,0,0,0,1,0
422,98.66666667,0.0763,0.00283,0.0575,0.0847,0.866,0.763,0,3.87E-07,0,0,0,1,0
423,82.66666667,0.0467,0.00401,0.0293,0.0407,1.1,0.792,0.275,3.18E-16,2.09E-05,0,0,1,1
424,101.3333333,0.0346,0.00893,0.0953,0.0637,1.28,0.726,0,2.85E-09,0,0,0,1,0
425,80,0.0154,0.00807,0.0434,0.0317,0.911,0.751,0.254,1.43E-15,1.84E-05,0,0,1,1
426,115,0.0736,0.00119,0.0959,0.0935,1.34,0.993,0.427,2.25E-07,3.41E-05,0,0,1,1
427,84.33333333,0.0817,0.000838,0.0637,0.0912,1.42,0.923,0.226,3.03E-07,3.57E-05,0,0,1,1
428,112.3333333,0.0165,0.00156,0.0901,0.044,1.5,0.931,0.386,6.31E-53,6.05E-06,0,0,1,1
429,113,0.0296,0.00384,0.00904,0.0986,0.653,0.066,0,9.71E-07,0,0,0,1,0
430,88,0.0222,0.000847,0.0656,0.0732,0.908,0.956,0.324,8.49E-29,3.84E-05,0,0,1,1
431,71.66666667,0.0107,0.00373,0.00558,0.0673,1.26,0.098,0,2.20E-07,0,0,0,1,0
432,23.83333333,0.0851,0.0075,0.0585,0.0358,0.543,0.689,0,7.64E-12,0,0,0,1,0
433,85.33333333,0.0779,0.00427,0.0197,0.0945,1.04,0.053,0,1.91E-06,0,0,0,1,0
434,57.66666667,0.063,0.00191,0.0191,0.032,0.86,0.779,0.271,3.22E-14,6.72E-06,0,0,1,1
435,41.66666667,0.0892,0.00538,0.085,0.0302,0.674,0.759,0.213,4.40E-23,2.50E-05,0,0,1,1
436,117.6666667,0.0322,0.000979,0.0581,0.0835,1.13,0.952,0.357,6.88E-16,3.93E-05,0,0,1,1
437,114,0.076,0.00437,0.0618,0.0804,1.13,0.767,0,9.56E-08,0,0,0,1,0
438,54.33333333,0.0689,0.00555,0.0135,0.0565,1.24,0.644,0,1.58E-07,0,0,0,1,0
439,51,0.0235,0.0037,0.0401,0.0409,1.03,0.763,0.197,4.47E-18,3.63E-05,0,0,1,1
440,80.33333333,0.0883,0.000756,0.00863,0.0451,0.929,0.804,0.328,2.73E-11,7.67E-06,0,0,1,1
441,108,0.0524,0.00397,0.0503,0.0668,0.715,0.73,0,2.40E-11,0,0,0,1,0
442,35.33333333,0.0181,0.0061,0.0395,0.0544,0.995,0.074,0,1.20E-07,0,0,0,1,0
443,28.66666667,0.0264,0.00212,0.0917,0.0279,0.955,0.759,0.197,5.83E-39,1.61E-05,0,0,1,1
444,65.66666667,0.0106,0.000228,0.0309,0.0683,1.39,0.947,0.332,1.80E-16,2.94E-05,0,0,1,1
445,43,0.0226,0.00623,0.0685,0.0558,1.44,0.078,0,2.00E-07,0,0,0,1,0
447,105,0.0282,0.00298,0.0881,0.0597,0.759,0.882,0.308,8.05E-32,3.28E-05,0,0,1,1
448,15.96666667,0.0804,0.00383,0.00624,0.038,1.11,0.435,0,9.00E-07,0,0,0,1,0
449,56,0.0943,0.00109,0.0689,0.046,0.95,0.841,0.332,3.30E-41,1.64E-05,0,0,1,1
450,70.33333333,0.0205,0.00881,0.0302,0.0551,1.2,0.677,0,1.10E-09,0,0,0,1,0
451,84.66666667,0.0687,0.0017,0.0243,0.0942,1.11,0.057,0,1.93E-06,0,0,0,1,0
452,101,0.0449,0.00125,0.0695,0.0532,0.672,0.931,0.394,2.74E-46,1.32E-05,0,0,1,1
453,56,0.0648,0.00554,0.0362,0.0434,0.65,0.742,0.156,7.98E-14,4.43E-05,0,0,1,1
454,117,0.0655,0.000475,0.0703,0.0779,1.25,0.997,0.615,6.14E-42,1.79E-05,0,0,1,1
455,92,0.012,0.000698,0.0715,0.0654,0.775,0.952,0.357,3.38E-39,2.56E-05,0,0,1,1
456,110,0.0682,0.00149,0.0897,0.0403,0.593,0.923,0.435,1.66E-09,3.11E-06,0,0,1,1
457,68,0.0998,0.00922,0.0315,0.0717,1.2,0.09,0,7.89E-07,0,0,0,1,0
458,28.03333333,0.0944,0.00417,0.00566,0.0432,0.966,0.595,0,4.23E-07,0,0,0,1,0
459,89.66666667,0.0609,0.00916,0.00706,0.0283,1.18,0.619,0.279,3.47E-09,1.01E-05,0,0,1,1
460,112.3333333,0.0873,0.00983,0.00962,0.054,0.578,0.689,0,2.93E-08,0,0,0,1,0
461,88.66666667,0.0464,0.00224,0.0175,0.0626,1.25,0.808,0.234,1.25E-12,4.18E-05,0,0,1,1
462,101,0.0958,0.00938,0.0148,0.0906,0.734,0.078,0,2.18E-06,0,0,0,1,0
463,48,0.0904,0.00725,0.0767,0.0597,1.19,0.632,0,4.92E-07,0,0,0,1,0
464,79.33333333,0.0593,0.00115,0.0161,0.0297,1.15,0.427,0.34,7.99E-09,5.82E-07,0.246,8.27E-09,2,1
465,112,0.0431,0.00648,0.0692,0.0415,1.11,0.808,0.304,1.80E-22,2.09E-05,0,0,1,1
466,114.3333333,0.0717,0.00871,0.08,0.027,0.901,0.804,0.336,1.37E-17,3.44E-06,0,0,1,1
467,109,0.0358,0.00946,0.0412,0.08,1.18,0.094,0,3.73E-07,0,0,0,1,0
468,86.66666667,0.0169,0.00553,0.0984,0.0305,1.39,0.8,0.295,1.28E-28,7.72E-06,0,0,1,1
469,117.6666667,0.0325,0.0025,0.0925,0.0386,1.48,0.915,0.394,3.36E-33,4.35E-06,0,0,1,1
470,42.33333333,0.0196,0.000253,0.0252,0.0757,0.762,0.861,0,2.34E-15,0,0,0,1,0
471,79.66666667,0.0299,0.00284,0.0321,0.0634,1.24,0.792,0,3.00E-15,0,0,0,1,0
472,45,0.039,0.00494,0.0411,0.0307,0.876,0.738,0.205,3.16E-16,2.47E-05,0,0,1,1
473,64,0.0702,0.00379,0.0557,0.078,0.608,0.053,0,2.26E-06,0,0,0,1,0
474,107.6666667,0.0115,0.000352,0.0989,0.0563,1.05,1.009,0.406,3.21E-75,6.32E-06,0,0,1,1
475,34,0.0801,0.00854,0.00673,0.0389,0.616,0.64,0,3.46E-07,0,0,0,1,0
476,97,0.0774,0.00896,0.0896,0.0483,1.39,0.751,0.213,5.42E-14,4.14E-05,0,0,1,1
